subject,subject_type,relation,object,object_type,idx,input
Bob Fenwick,PERSON,LIST,Hilltop Estate ($30 million) (California),PRODUCT,7,"A 48-acre hilltop estate in Los Altos Hills, Calif.—believed to be one of the largest properties in Silicon Valley—will list for $30 million.Purchased in 1983 for $2.45 million, the property previously had been used as a dairy farm, said seller Bob Fenwick, retired co-founder of BR Communications, a designer, manufacturer and seller of military-communications equipment, and his wife Jan.“My...   [/INST] \n"
Bob Fenwick,PERSON,Co-Found,"BR Communications (designer, manufacturer and seller of military-communications equipment))",COMP,7,"A 48-acre hilltop estate in Los Altos Hills, Calif.—believed to be one of the largest properties in Silicon Valley—will list for $30 million.Purchased in 1983 for $2.45 million, the property previously had been used as a dairy farm, said seller Bob Fenwick, retired co-founder of BR Communications, a designer, manufacturer and seller of military-communications equipment, and his wife Jan.“My...   [/INST] \n"
Migrants,PERSON,Reach,Spain,GPE,8," 42 PM / Updated 29 minutes ago Two hundred migrants reach Spain after storming fence Reuters Staff 1 Min Read BARCELONA (Reuters) - More than 300 people stormed the heavily fortified border between Morocco and the Spanish enclave Melilla in what authorities on Sunday called a mass “violent crossing”. Some 209 migrants succeeded in reaching Spain in Saturday’s incident. Spain’s two North African enclaves, Ceuta and Melilla, are a common target for entry into the European Union by migrants who try to climb the border fences or enter the territories by sea. One Civil Guard police officer was injured in an attack by a migrant, the Spanish government said. Four of the migrants who reached Spain received treatment for injuries sustained during the crossing. Reporting by Sam Edwards; Editing by Alison Williams [/INST] \n"
Migrants,PERSON,Storm,Fence,CONCEPT,8," 42 PM / Updated 29 minutes ago Two hundred migrants reach Spain after storming fence Reuters Staff 1 Min Read BARCELONA (Reuters) - More than 300 people stormed the heavily fortified border between Morocco and the Spanish enclave Melilla in what authorities on Sunday called a mass “violent crossing”. Some 209 migrants succeeded in reaching Spain in Saturday’s incident. Spain’s two North African enclaves, Ceuta and Melilla, are a common target for entry into the European Union by migrants who try to climb the border fences or enter the territories by sea. One Civil Guard police officer was injured in an attack by a migrant, the Spanish government said. Four of the migrants who reached Spain received treatment for injuries sustained during the crossing. Reporting by Sam Edwards; Editing by Alison Williams [/INST] \n"
Migrants,PERSON,Storm,Border,CONCEPT,8," 42 PM / Updated 29 minutes ago Two hundred migrants reach Spain after storming fence Reuters Staff 1 Min Read BARCELONA (Reuters) - More than 300 people stormed the heavily fortified border between Morocco and the Spanish enclave Melilla in what authorities on Sunday called a mass “violent crossing”. Some 209 migrants succeeded in reaching Spain in Saturday’s incident. Spain’s two North African enclaves, Ceuta and Melilla, are a common target for entry into the European Union by migrants who try to climb the border fences or enter the territories by sea. One Civil Guard police officer was injured in an attack by a migrant, the Spanish government said. Four of the migrants who reached Spain received treatment for injuries sustained during the crossing. Reporting by Sam Edwards; Editing by Alison Williams [/INST] \n"
Migrants,PERSON,Storm,Melilla,GPE,8," 42 PM / Updated 29 minutes ago Two hundred migrants reach Spain after storming fence Reuters Staff 1 Min Read BARCELONA (Reuters) - More than 300 people stormed the heavily fortified border between Morocco and the Spanish enclave Melilla in what authorities on Sunday called a mass “violent crossing”. Some 209 migrants succeeded in reaching Spain in Saturday’s incident. Spain’s two North African enclaves, Ceuta and Melilla, are a common target for entry into the European Union by migrants who try to climb the border fences or enter the territories by sea. One Civil Guard police officer was injured in an attack by a migrant, the Spanish government said. Four of the migrants who reached Spain received treatment for injuries sustained during the crossing. Reporting by Sam Edwards; Editing by Alison Williams [/INST] \n"
Migrants,PERSON,Target,Ceuta,GPE,8," 42 PM / Updated 29 minutes ago Two hundred migrants reach Spain after storming fence Reuters Staff 1 Min Read BARCELONA (Reuters) - More than 300 people stormed the heavily fortified border between Morocco and the Spanish enclave Melilla in what authorities on Sunday called a mass “violent crossing”. Some 209 migrants succeeded in reaching Spain in Saturday’s incident. Spain’s two North African enclaves, Ceuta and Melilla, are a common target for entry into the European Union by migrants who try to climb the border fences or enter the territories by sea. One Civil Guard police officer was injured in an attack by a migrant, the Spanish government said. Four of the migrants who reached Spain received treatment for injuries sustained during the crossing. Reporting by Sam Edwards; Editing by Alison Williams [/INST] \n"
Migrants,PERSON,Target,Melilla,GPE,8," 42 PM / Updated 29 minutes ago Two hundred migrants reach Spain after storming fence Reuters Staff 1 Min Read BARCELONA (Reuters) - More than 300 people stormed the heavily fortified border between Morocco and the Spanish enclave Melilla in what authorities on Sunday called a mass “violent crossing”. Some 209 migrants succeeded in reaching Spain in Saturday’s incident. Spain’s two North African enclaves, Ceuta and Melilla, are a common target for entry into the European Union by migrants who try to climb the border fences or enter the territories by sea. One Civil Guard police officer was injured in an attack by a migrant, the Spanish government said. Four of the migrants who reached Spain received treatment for injuries sustained during the crossing. Reporting by Sam Edwards; Editing by Alison Williams [/INST] \n"
Migrants,PERSON,Target,European Union,GPE,8," 42 PM / Updated 29 minutes ago Two hundred migrants reach Spain after storming fence Reuters Staff 1 Min Read BARCELONA (Reuters) - More than 300 people stormed the heavily fortified border between Morocco and the Spanish enclave Melilla in what authorities on Sunday called a mass “violent crossing”. Some 209 migrants succeeded in reaching Spain in Saturday’s incident. Spain’s two North African enclaves, Ceuta and Melilla, are a common target for entry into the European Union by migrants who try to climb the border fences or enter the territories by sea. One Civil Guard police officer was injured in an attack by a migrant, the Spanish government said. Four of the migrants who reached Spain received treatment for injuries sustained during the crossing. Reporting by Sam Edwards; Editing by Alison Williams [/INST] \n"
Sears Holdings,COMP,Close,Kmart stores (64),PRODUCT,11,"#Market News January 4, 2018 / 8:24 PM / Updated 6 minutes ago BRIEF-Sears Holdings says it will be closing 64 Kmart stores, 39 Sears stores between early March and early April 2018 Reuters Staff 1 Min Read Jan 4 (Reuters) - Sears Holdings Corp: * SEARS HOLDINGS - INFORMED ASSOCIATES AT 64 KMART STORES, 39 SEARS STORES THAT IT WILL BE CLOSING THESE STORES BETWEEN EARLY MARCH AND EARLY APRIL 2018 Source text - bit.ly/2CHPB8w Further company coverage: (Bengaluru Newsroom) [/INST] \n"
Sears Holdings,COMP,Close,Sears stores (39),PRODUCT,11,"#Market News January 4, 2018 / 8:24 PM / Updated 6 minutes ago BRIEF-Sears Holdings says it will be closing 64 Kmart stores, 39 Sears stores between early March and early April 2018 Reuters Staff 1 Min Read Jan 4 (Reuters) - Sears Holdings Corp: * SEARS HOLDINGS - INFORMED ASSOCIATES AT 64 KMART STORES, 39 SEARS STORES THAT IT WILL BE CLOSING THESE STORES BETWEEN EARLY MARCH AND EARLY APRIL 2018 Source text - bit.ly/2CHPB8w Further company coverage: (Bengaluru Newsroom) [/INST] \n"
Tongyu Communication Inc,COMP,Invests_In (500000 yuan),Shenzhen-based tech unit,COMP,12,"Jan 19(Reuters) - Tongyu Communication Inc :* Says it will invest 500,000 yuan to set up a Shenzhen-based wholly owned tech unitSource text in Chinese: goo.gl/H2VxzUFurther company coverage: (Beijing Headline News)  [/INST] \n"
Tongyu Communication Inc,COMP,Introduce,Shenzhen-based tech unit,COMP,12,"Jan 19(Reuters) - Tongyu Communication Inc :* Says it will invest 500,000 yuan to set up a Shenzhen-based wholly owned tech unitSource text in Chinese: goo.gl/H2VxzUFurther company coverage: (Beijing Headline News)  [/INST] \n"
MVC Capital Inc,COMP,Announce,Fiscal Fourth Quarter and Full Year 2017 Results,REPORT,13,Jan 16 (Reuters) - MVC Capital Inc:* MVC CAPITAL ANNOUNCES FISCAL FOURTH QUARTER AND FULL YEAR 2017 RESULTS* MVC CAPITAL - QTRLY NET ASSET VALUE PER SHARE $13.24‍​ Source text for Eikon: Further company coverage:  [/INST] \n
MVC Capital Inc,COMP,Has,Net Asset Value Per Share $13.24,ECON_INDICATOR,13,Jan 16 (Reuters) - MVC Capital Inc:* MVC CAPITAL ANNOUNCES FISCAL FOURTH QUARTER AND FULL YEAR 2017 RESULTS* MVC CAPITAL - QTRLY NET ASSET VALUE PER SHARE $13.24‍​ Source text for Eikon: Further company coverage:  [/INST] \n
Baillie Gifford & Co,ORG,REPORT (5.84 Percent Passive Stake),Lendingtree Inc,COMP,17,"Jan 24 (Reuters) - Lendingtree Inc:* BAILLIE GIFFORD & CO REPORTS 5.84 PERCENT PASSIVE STAKE IN LENDINGTREE INC AS OF DEC. 31, 2017 - SEC FILING Source text - ( bit.ly/2DAdz5U ) Further company coverage:  [/INST] \n"
JP Morgan,COMP,Raise,Kohl's evaluation??,COMP,20,JP Morgan upgrades Kohl's to overweight 21 Hours Ago The “Fast Money Halftime Report” traders discuss Kohl's shares jumping on an overweight upgrade from JP Morgan for the call of the day. [/INST] \n
JP Morgan,COMP,Impact,Kohl's shares,FIN_INSTRUMENT,20,JP Morgan upgrades Kohl's to overweight 21 Hours Ago The “Fast Money Halftime Report” traders discuss Kohl's shares jumping on an overweight upgrade from JP Morgan for the call of the day. [/INST] \n
Fast Money Halftime Report traders,PERSON,Discuss,Kohl's shares,FIN_INSTRUMENT,20,JP Morgan upgrades Kohl's to overweight 21 Hours Ago The “Fast Money Halftime Report” traders discuss Kohl's shares jumping on an overweight upgrade from JP Morgan for the call of the day. [/INST] \n
Osisko Gold Royalties Ltd,COMP,Announce,Record 2017 Gold Equivalent Ounces,PRODUCT,21,"January 18, 2018 / 3:00 PM / Updated 22 minutes ago BRIEF-Osisko Announces Record 2017 Gold Equivalent Ounces Reuters Staff Jan 18 (Reuters) - Osisko Gold Royalties Ltd: * OSISKO ANNOUNCES RECORD 2017 GOLD EQUIVALENT OUNCES * OSISKO GOLD ROYALTIES LTD - ‍PRELIM GEOS EARNED IN Q4 TOTALED 20,990 OUNCES​, UP 26 PERCENT FROM Q3 2017 Source text for Eikon: Further company coverage: [/INST] \n"
Osisko Gold Royalties Ltd,COMP,Earn,"Q4 20,990 GEOS",PRODUCT,21,"January 18, 2018 / 3:00 PM / Updated 22 minutes ago BRIEF-Osisko Announces Record 2017 Gold Equivalent Ounces Reuters Staff Jan 18 (Reuters) - Osisko Gold Royalties Ltd: * OSISKO ANNOUNCES RECORD 2017 GOLD EQUIVALENT OUNCES * OSISKO GOLD ROYALTIES LTD - ‍PRELIM GEOS EARNED IN Q4 TOTALED 20,990 OUNCES​, UP 26 PERCENT FROM Q3 2017 Source text for Eikon: Further company coverage: [/INST] \n"
First Merchants Corporation,COMP,Announce,Fourth Quarter 2017 Financial Results,ECON_INDICATOR,22,"MUNCIE, Ind., Jan. 04, 2018 (GLOBE NEWSWIRE) -- First Merchants Corporation (Nasdaq:FRME) will report fourth quarter 2017 financial results on January 25, 2018. The Corporation will host a fourth quarter 2017 earnings conference call and web cast at 2:30 p.m. (ET) on Thursday, January 25, 2018. To participate, dial (Toll Free) 877-507-0578 and reference First Merchants Corporation’s fourth quarter earnings release. International callers please call +1 412-317-1073.To access a replay of the call, US participants should dial (Toll Free) 877-344-7529 or for International participants, dial +1 412-317-0088. The replay access code is 10114961.In order to view the web cast and presentation slides, please go to http://services.choruscall.com/links/frme180125.html during the time of the call. A replay of the webcast will be available until January 25, 2019.About First Merchants CorporationFirst Merchants Corporation is a financial holding company headquartered in Muncie, Indiana. The Corporation has one full-service bank charter, First Merchants Bank. The Bank also operates as Lafayette Bank & Trust and First Merchants Private Wealth Advisors (each as a division of First Merchants Bank).First Merchants Corporation’s common stock is traded on the NASDAQ Global Select Market System under the symbol FRME. Quotations are carried in daily newspapers and can be found on the company’s Internet web page ( http://www.firstmerchants.com ).FIRST MERCHANTS and the Shield Logo are federally registered trademarks of First Merchants Corporation.For more information, contact:David L. Ortega, First Vice President/Director of Investor Relations765-378-8937http://www.firstmerchants.com/SOURCE: First Merchants Corporation, Muncie, IndianaSource:First Merchants Corporation [/INST]"
First Merchants Corporation,COMP,Host,Fourth Quarter 2017 Earnings Conference Call,EVENT,22,"MUNCIE, Ind., Jan. 04, 2018 (GLOBE NEWSWIRE) -- First Merchants Corporation (Nasdaq:FRME) will report fourth quarter 2017 financial results on January 25, 2018. The Corporation will host a fourth quarter 2017 earnings conference call and web cast at 2:30 p.m. (ET) on Thursday, January 25, 2018. To participate, dial (Toll Free) 877-507-0578 and reference First Merchants Corporation’s fourth quarter earnings release. International callers please call +1 412-317-1073.To access a replay of the call, US participants should dial (Toll Free) 877-344-7529 or for International participants, dial +1 412-317-0088. The replay access code is 10114961.In order to view the web cast and presentation slides, please go to http://services.choruscall.com/links/frme180125.html during the time of the call. A replay of the webcast will be available until January 25, 2019.About First Merchants CorporationFirst Merchants Corporation is a financial holding company headquartered in Muncie, Indiana. The Corporation has one full-service bank charter, First Merchants Bank. The Bank also operates as Lafayette Bank & Trust and First Merchants Private Wealth Advisors (each as a division of First Merchants Bank).First Merchants Corporation’s common stock is traded on the NASDAQ Global Select Market System under the symbol FRME. Quotations are carried in daily newspapers and can be found on the company’s Internet web page ( http://www.firstmerchants.com ).FIRST MERCHANTS and the Shield Logo are federally registered trademarks of First Merchants Corporation.For more information, contact:David L. Ortega, First Vice President/Director of Investor Relations765-378-8937http://www.firstmerchants.com/SOURCE: First Merchants Corporation, Muncie, IndianaSource:First Merchants Corporation [/INST]"
First Merchants Corporation,COMP,Operate_In,First Merchants Bank,COMP,22,"MUNCIE, Ind., Jan. 04, 2018 (GLOBE NEWSWIRE) -- First Merchants Corporation (Nasdaq:FRME) will report fourth quarter 2017 financial results on January 25, 2018. The Corporation will host a fourth quarter 2017 earnings conference call and web cast at 2:30 p.m. (ET) on Thursday, January 25, 2018. To participate, dial (Toll Free) 877-507-0578 and reference First Merchants Corporation’s fourth quarter earnings release. International callers please call +1 412-317-1073.To access a replay of the call, US participants should dial (Toll Free) 877-344-7529 or for International participants, dial +1 412-317-0088. The replay access code is 10114961.In order to view the web cast and presentation slides, please go to http://services.choruscall.com/links/frme180125.html during the time of the call. A replay of the webcast will be available until January 25, 2019.About First Merchants CorporationFirst Merchants Corporation is a financial holding company headquartered in Muncie, Indiana. The Corporation has one full-service bank charter, First Merchants Bank. The Bank also operates as Lafayette Bank & Trust and First Merchants Private Wealth Advisors (each as a division of First Merchants Bank).First Merchants Corporation’s common stock is traded on the NASDAQ Global Select Market System under the symbol FRME. Quotations are carried in daily newspapers and can be found on the company’s Internet web page ( http://www.firstmerchants.com ).FIRST MERCHANTS and the Shield Logo are federally registered trademarks of First Merchants Corporation.For more information, contact:David L. Ortega, First Vice President/Director of Investor Relations765-378-8937http://www.firstmerchants.com/SOURCE: First Merchants Corporation, Muncie, IndianaSource:First Merchants Corporation [/INST]"
First Merchants Corporation,COMP,Operate_In,Lafayette Bank & Trust,COMP,22,"MUNCIE, Ind., Jan. 04, 2018 (GLOBE NEWSWIRE) -- First Merchants Corporation (Nasdaq:FRME) will report fourth quarter 2017 financial results on January 25, 2018. The Corporation will host a fourth quarter 2017 earnings conference call and web cast at 2:30 p.m. (ET) on Thursday, January 25, 2018. To participate, dial (Toll Free) 877-507-0578 and reference First Merchants Corporation’s fourth quarter earnings release. International callers please call +1 412-317-1073.To access a replay of the call, US participants should dial (Toll Free) 877-344-7529 or for International participants, dial +1 412-317-0088. The replay access code is 10114961.In order to view the web cast and presentation slides, please go to http://services.choruscall.com/links/frme180125.html during the time of the call. A replay of the webcast will be available until January 25, 2019.About First Merchants CorporationFirst Merchants Corporation is a financial holding company headquartered in Muncie, Indiana. The Corporation has one full-service bank charter, First Merchants Bank. The Bank also operates as Lafayette Bank & Trust and First Merchants Private Wealth Advisors (each as a division of First Merchants Bank).First Merchants Corporation’s common stock is traded on the NASDAQ Global Select Market System under the symbol FRME. Quotations are carried in daily newspapers and can be found on the company’s Internet web page ( http://www.firstmerchants.com ).FIRST MERCHANTS and the Shield Logo are federally registered trademarks of First Merchants Corporation.For more information, contact:David L. Ortega, First Vice President/Director of Investor Relations765-378-8937http://www.firstmerchants.com/SOURCE: First Merchants Corporation, Muncie, IndianaSource:First Merchants Corporation [/INST]"
First Merchants Corporation,COMP,Operate_In,First Merchants Private Wealth Advisors,COMP,22,"MUNCIE, Ind., Jan. 04, 2018 (GLOBE NEWSWIRE) -- First Merchants Corporation (Nasdaq:FRME) will report fourth quarter 2017 financial results on January 25, 2018. The Corporation will host a fourth quarter 2017 earnings conference call and web cast at 2:30 p.m. (ET) on Thursday, January 25, 2018. To participate, dial (Toll Free) 877-507-0578 and reference First Merchants Corporation’s fourth quarter earnings release. International callers please call +1 412-317-1073.To access a replay of the call, US participants should dial (Toll Free) 877-344-7529 or for International participants, dial +1 412-317-0088. The replay access code is 10114961.In order to view the web cast and presentation slides, please go to http://services.choruscall.com/links/frme180125.html during the time of the call. A replay of the webcast will be available until January 25, 2019.About First Merchants CorporationFirst Merchants Corporation is a financial holding company headquartered in Muncie, Indiana. The Corporation has one full-service bank charter, First Merchants Bank. The Bank also operates as Lafayette Bank & Trust and First Merchants Private Wealth Advisors (each as a division of First Merchants Bank).First Merchants Corporation’s common stock is traded on the NASDAQ Global Select Market System under the symbol FRME. Quotations are carried in daily newspapers and can be found on the company’s Internet web page ( http://www.firstmerchants.com ).FIRST MERCHANTS and the Shield Logo are federally registered trademarks of First Merchants Corporation.For more information, contact:David L. Ortega, First Vice President/Director of Investor Relations765-378-8937http://www.firstmerchants.com/SOURCE: First Merchants Corporation, Muncie, IndianaSource:First Merchants Corporation [/INST]"
Borqs Technologies,COMP,Invests_In,Shenzhen Crave Communication,COMP,24,"January 22, 2018 / 2:16 PM / Updated 13 minutes ago BRIEF-Borqs Technologies Announces Investment In Shenzhen Crave Communication Reuters Staff Jan 22 (Reuters) - Borqs Technologies Inc: * BORQS TECHNOLOGIES ANNOUNCES INVESTMENT INTO A MAJOR EMS IN CHINA – SHENZHEN CRAVE COMMUNICATION * BORQS TECHNOLOGIES- SIGNING OF DEAL TO BUY 13.8% OF SHENZHEN CRAVE COMMUNICATION CO. LTD, AFFILIATED BUSINESS ENTITY, COLMEI TECHNOLOGY INTERNATIONAL * BORQS TECHNOLOGIES - DEAL FOR $13 MILLION ‍,CONSISTING OF $3 MILLION IN CO‘S ORDINARY SHARES TO BE ISSUED AT CLOSING AND $10 MILLION IN CASH TO BE PAID OVER 3 YEARS​ Source text for Eikon: Further company coverage: [/INST] \n"
Borqs Technologies,COMP,Buy (13.8%) ($13 million),Shenzhen Crave Communication ,COMP,24,"January 22, 2018 / 2:16 PM / Updated 13 minutes ago BRIEF-Borqs Technologies Announces Investment In Shenzhen Crave Communication Reuters Staff Jan 22 (Reuters) - Borqs Technologies Inc: * BORQS TECHNOLOGIES ANNOUNCES INVESTMENT INTO A MAJOR EMS IN CHINA – SHENZHEN CRAVE COMMUNICATION * BORQS TECHNOLOGIES- SIGNING OF DEAL TO BUY 13.8% OF SHENZHEN CRAVE COMMUNICATION CO. LTD, AFFILIATED BUSINESS ENTITY, COLMEI TECHNOLOGY INTERNATIONAL * BORQS TECHNOLOGIES - DEAL FOR $13 MILLION ‍,CONSISTING OF $3 MILLION IN CO‘S ORDINARY SHARES TO BE ISSUED AT CLOSING AND $10 MILLION IN CASH TO BE PAID OVER 3 YEARS​ Source text for Eikon: Further company coverage: [/INST] \n"
