idx,subject_type,subject,relation,object_type,object,input,wiki_page
11,COMPANY,Sears Holdings,HAS,COMPANY,Kmart,"#Market News January 4, 2018 / 8:24 PM / Updated 6 minutes ago BRIEF-Sears Holdings says it will be closing 64 Kmart stores, 39 Sears stores between early March and early April 2018 Reuters Staff 1 Min Read Jan 4 (Reuters) - Sears Holdings Corp: * SEARS HOLDINGS - INFORMED ASSOCIATES AT 64 KMART STORES, 39 SEARS STORES THAT IT WILL BE CLOSING THESE STORES BETWEEN EARLY MARCH AND EARLY APRIL 2018 Source text - bit.ly/2CHPB8w Further company coverage: (Bengaluru Newsroom) [/INST] \n",
11,COMPANY,Sears Holdings,HAS,COMPANY,Sears,"#Market News January 4, 2018 / 8:24 PM / Updated 6 minutes ago BRIEF-Sears Holdings says it will be closing 64 Kmart stores, 39 Sears stores between early March and early April 2018 Reuters Staff 1 Min Read Jan 4 (Reuters) - Sears Holdings Corp: * SEARS HOLDINGS - INFORMED ASSOCIATES AT 64 KMART STORES, 39 SEARS STORES THAT IT WILL BE CLOSING THESE STORES BETWEEN EARLY MARCH AND EARLY APRIL 2018 Source text - bit.ly/2CHPB8w Further company coverage: (Bengaluru Newsroom) [/INST] \n",
11,COMPANY,Sears Holdings,ANNounce,EVENT,closing 64 Kmart stores,"#Market News January 4, 2018 / 8:24 PM / Updated 6 minutes ago BRIEF-Sears Holdings says it will be closing 64 Kmart stores, 39 Sears stores between early March and early April 2018 Reuters Staff 1 Min Read Jan 4 (Reuters) - Sears Holdings Corp: * SEARS HOLDINGS - INFORMED ASSOCIATES AT 64 KMART STORES, 39 SEARS STORES THAT IT WILL BE CLOSING THESE STORES BETWEEN EARLY MARCH AND EARLY APRIL 2018 Source text - bit.ly/2CHPB8w Further company coverage: (Bengaluru Newsroom) [/INST] \n",
11,COMPANY,Sears Holdings,ANNounce,EVENT,closing 39 Sears stores,"#Market News January 4, 2018 / 8:24 PM / Updated 6 minutes ago BRIEF-Sears Holdings says it will be closing 64 Kmart stores, 39 Sears stores between early March and early April 2018 Reuters Staff 1 Min Read Jan 4 (Reuters) - Sears Holdings Corp: * SEARS HOLDINGS - INFORMED ASSOCIATES AT 64 KMART STORES, 39 SEARS STORES THAT IT WILL BE CLOSING THESE STORES BETWEEN EARLY MARCH AND EARLY APRIL 2018 Source text - bit.ly/2CHPB8w Further company coverage: (Bengaluru Newsroom) [/INST] \n",
11,COMPANY,Sears Holdings,ANNounce,EVENT,closing stores between early March and early April 2018,"#Market News January 4, 2018 / 8:24 PM / Updated 6 minutes ago BRIEF-Sears Holdings says it will be closing 64 Kmart stores, 39 Sears stores between early March and early April 2018 Reuters Staff 1 Min Read Jan 4 (Reuters) - Sears Holdings Corp: * SEARS HOLDINGS - INFORMED ASSOCIATES AT 64 KMART STORES, 39 SEARS STORES THAT IT WILL BE CLOSING THESE STORES BETWEEN EARLY MARCH AND EARLY APRIL 2018 Source text - bit.ly/2CHPB8w Further company coverage: (Bengaluru Newsroom) [/INST] \n",
14,PERSON,Jeff Bezos,HAS,COMPANY,The Washington Post,"4 Hours Ago | 00:56 President Donald Trump repeated an earlier call for an internet tax, in a thinly veiled shot at Amazon 's Jeff Bezos, who owns The Washington Post. ""The internet — they're going to have to start paying sales tax because it's very unfair what's happening to our retailers all over the country that are put out of business,"" Trump said Wednesday. Trump also reiterated concerns about Amazon's effect on the U.S. Postal Service as it struggles to keep up with online orders. The comments mirror tweets from the president in December that named the e-commerce giant. Dec tweet ""There's always been a fear for players like an Amazon or a Google that something like this could actually get through,"" Daniel Ives, head of technology research at GBH Insights, told CNBC. ""We believe it's more noise than a real threat."" show chapters 11:21 AM ET Fri, 29 Dec 2017 | 02:48 There's been speculation that the president's shots at Amazon are aimed at Bezos , whose newspaper has published stories critical of the president. Amazon already collects sales tax on products it sells directly to consumers, but has faced challenges from states over its policy of allowing third-party vendors to charge varying levels of sales tax. The issue has garnered more attention as Amazon continues to take a bigger share of overall retail sales. Amazon celebrated its ""biggest holiday"" shopping season at the end of last year. There is an underlying movement among traditional brick-and-mortar retailers to more heavily tax Amazon, Ives said, so the discussion is ""something you have to keep an eye on."" But the likelihood that an internet tax would pass is small, he said. ""Listen they've [Amazon] significantly changed the retail landscape across the world,"" Ives said. ""I think it's more of the same where they're getting in the crosshairs."" Trump spoke before media and members of the administration Wednesday evening during the signing of the Interdict Act, which seeks to reduce drug smuggling through the purchase of opioid sensors. Amazon did not immediately return a CNBC request for comment. —CNBC's Kevin Breuninger and Eugene Kim contributed to this report. WATCH: How Bill Gates helped Jeff Bezos become the richest person in the world show chapters [/INST] \n",
14,PERSON,Donald Trump,ANNounce,CONCEPT,internet tax,"4 Hours Ago | 00:56 President Donald Trump repeated an earlier call for an internet tax, in a thinly veiled shot at Amazon 's Jeff Bezos, who owns The Washington Post. ""The internet — they're going to have to start paying sales tax because it's very unfair what's happening to our retailers all over the country that are put out of business,"" Trump said Wednesday. Trump also reiterated concerns about Amazon's effect on the U.S. Postal Service as it struggles to keep up with online orders. The comments mirror tweets from the president in December that named the e-commerce giant. Dec tweet ""There's always been a fear for players like an Amazon or a Google that something like this could actually get through,"" Daniel Ives, head of technology research at GBH Insights, told CNBC. ""We believe it's more noise than a real threat."" show chapters 11:21 AM ET Fri, 29 Dec 2017 | 02:48 There's been speculation that the president's shots at Amazon are aimed at Bezos , whose newspaper has published stories critical of the president. Amazon already collects sales tax on products it sells directly to consumers, but has faced challenges from states over its policy of allowing third-party vendors to charge varying levels of sales tax. The issue has garnered more attention as Amazon continues to take a bigger share of overall retail sales. Amazon celebrated its ""biggest holiday"" shopping season at the end of last year. There is an underlying movement among traditional brick-and-mortar retailers to more heavily tax Amazon, Ives said, so the discussion is ""something you have to keep an eye on."" But the likelihood that an internet tax would pass is small, he said. ""Listen they've [Amazon] significantly changed the retail landscape across the world,"" Ives said. ""I think it's more of the same where they're getting in the crosshairs."" Trump spoke before media and members of the administration Wednesday evening during the signing of the Interdict Act, which seeks to reduce drug smuggling through the purchase of opioid sensors. Amazon did not immediately return a CNBC request for comment. —CNBC's Kevin Breuninger and Eugene Kim contributed to this report. WATCH: How Bill Gates helped Jeff Bezos become the richest person in the world show chapters [/INST] \n",
14,COMPANY,Amazon,NEGATIVE_Impact_ON,SECTOR,retailers,"4 Hours Ago | 00:56 President Donald Trump repeated an earlier call for an internet tax, in a thinly veiled shot at Amazon 's Jeff Bezos, who owns The Washington Post. ""The internet — they're going to have to start paying sales tax because it's very unfair what's happening to our retailers all over the country that are put out of business,"" Trump said Wednesday. Trump also reiterated concerns about Amazon's effect on the U.S. Postal Service as it struggles to keep up with online orders. The comments mirror tweets from the president in December that named the e-commerce giant. Dec tweet ""There's always been a fear for players like an Amazon or a Google that something like this could actually get through,"" Daniel Ives, head of technology research at GBH Insights, told CNBC. ""We believe it's more noise than a real threat."" show chapters 11:21 AM ET Fri, 29 Dec 2017 | 02:48 There's been speculation that the president's shots at Amazon are aimed at Bezos , whose newspaper has published stories critical of the president. Amazon already collects sales tax on products it sells directly to consumers, but has faced challenges from states over its policy of allowing third-party vendors to charge varying levels of sales tax. The issue has garnered more attention as Amazon continues to take a bigger share of overall retail sales. Amazon celebrated its ""biggest holiday"" shopping season at the end of last year. There is an underlying movement among traditional brick-and-mortar retailers to more heavily tax Amazon, Ives said, so the discussion is ""something you have to keep an eye on."" But the likelihood that an internet tax would pass is small, he said. ""Listen they've [Amazon] significantly changed the retail landscape across the world,"" Ives said. ""I think it's more of the same where they're getting in the crosshairs."" Trump spoke before media and members of the administration Wednesday evening during the signing of the Interdict Act, which seeks to reduce drug smuggling through the purchase of opioid sensors. Amazon did not immediately return a CNBC request for comment. —CNBC's Kevin Breuninger and Eugene Kim contributed to this report. WATCH: How Bill Gates helped Jeff Bezos become the richest person in the world show chapters [/INST] \n",
14,COMPANY,Amazon,NEGATIVE_ImpACT_ON,Government Body,U.S. Postal Service,"4 Hours Ago | 00:56 President Donald Trump repeated an earlier call for an internet tax, in a thinly veiled shot at Amazon 's Jeff Bezos, who owns The Washington Post. ""The internet — they're going to have to start paying sales tax because it's very unfair what's happening to our retailers all over the country that are put out of business,"" Trump said Wednesday. Trump also reiterated concerns about Amazon's effect on the U.S. Postal Service as it struggles to keep up with online orders. The comments mirror tweets from the president in December that named the e-commerce giant. Dec tweet ""There's always been a fear for players like an Amazon or a Google that something like this could actually get through,"" Daniel Ives, head of technology research at GBH Insights, told CNBC. ""We believe it's more noise than a real threat."" show chapters 11:21 AM ET Fri, 29 Dec 2017 | 02:48 There's been speculation that the president's shots at Amazon are aimed at Bezos , whose newspaper has published stories critical of the president. Amazon already collects sales tax on products it sells directly to consumers, but has faced challenges from states over its policy of allowing third-party vendors to charge varying levels of sales tax. The issue has garnered more attention as Amazon continues to take a bigger share of overall retail sales. Amazon celebrated its ""biggest holiday"" shopping season at the end of last year. There is an underlying movement among traditional brick-and-mortar retailers to more heavily tax Amazon, Ives said, so the discussion is ""something you have to keep an eye on."" But the likelihood that an internet tax would pass is small, he said. ""Listen they've [Amazon] significantly changed the retail landscape across the world,"" Ives said. ""I think it's more of the same where they're getting in the crosshairs."" Trump spoke before media and members of the administration Wednesday evening during the signing of the Interdict Act, which seeks to reduce drug smuggling through the purchase of opioid sensors. Amazon did not immediately return a CNBC request for comment. —CNBC's Kevin Breuninger and Eugene Kim contributed to this report. WATCH: How Bill Gates helped Jeff Bezos become the richest person in the world show chapters [/INST] \n",
14,PERSON,Daniel Ives,HAS,COMPANY,GBH Insights,"4 Hours Ago | 00:56 President Donald Trump repeated an earlier call for an internet tax, in a thinly veiled shot at Amazon 's Jeff Bezos, who owns The Washington Post. ""The internet — they're going to have to start paying sales tax because it's very unfair what's happening to our retailers all over the country that are put out of business,"" Trump said Wednesday. Trump also reiterated concerns about Amazon's effect on the U.S. Postal Service as it struggles to keep up with online orders. The comments mirror tweets from the president in December that named the e-commerce giant. Dec tweet ""There's always been a fear for players like an Amazon or a Google that something like this could actually get through,"" Daniel Ives, head of technology research at GBH Insights, told CNBC. ""We believe it's more noise than a real threat."" show chapters 11:21 AM ET Fri, 29 Dec 2017 | 02:48 There's been speculation that the president's shots at Amazon are aimed at Bezos , whose newspaper has published stories critical of the president. Amazon already collects sales tax on products it sells directly to consumers, but has faced challenges from states over its policy of allowing third-party vendors to charge varying levels of sales tax. The issue has garnered more attention as Amazon continues to take a bigger share of overall retail sales. Amazon celebrated its ""biggest holiday"" shopping season at the end of last year. There is an underlying movement among traditional brick-and-mortar retailers to more heavily tax Amazon, Ives said, so the discussion is ""something you have to keep an eye on."" But the likelihood that an internet tax would pass is small, he said. ""Listen they've [Amazon] significantly changed the retail landscape across the world,"" Ives said. ""I think it's more of the same where they're getting in the crosshairs."" Trump spoke before media and members of the administration Wednesday evening during the signing of the Interdict Act, which seeks to reduce drug smuggling through the purchase of opioid sensors. Amazon did not immediately return a CNBC request for comment. —CNBC's Kevin Breuninger and Eugene Kim contributed to this report. WATCH: How Bill Gates helped Jeff Bezos become the richest person in the world show chapters [/INST] \n",
14,EVENT,Interdict Act,INTRODUCE,PRODUCT,opioid sensors,"4 Hours Ago | 00:56 President Donald Trump repeated an earlier call for an internet tax, in a thinly veiled shot at Amazon 's Jeff Bezos, who owns The Washington Post. ""The internet — they're going to have to start paying sales tax because it's very unfair what's happening to our retailers all over the country that are put out of business,"" Trump said Wednesday. Trump also reiterated concerns about Amazon's effect on the U.S. Postal Service as it struggles to keep up with online orders. The comments mirror tweets from the president in December that named the e-commerce giant. Dec tweet ""There's always been a fear for players like an Amazon or a Google that something like this could actually get through,"" Daniel Ives, head of technology research at GBH Insights, told CNBC. ""We believe it's more noise than a real threat."" show chapters 11:21 AM ET Fri, 29 Dec 2017 | 02:48 There's been speculation that the president's shots at Amazon are aimed at Bezos , whose newspaper has published stories critical of the president. Amazon already collects sales tax on products it sells directly to consumers, but has faced challenges from states over its policy of allowing third-party vendors to charge varying levels of sales tax. The issue has garnered more attention as Amazon continues to take a bigger share of overall retail sales. Amazon celebrated its ""biggest holiday"" shopping season at the end of last year. There is an underlying movement among traditional brick-and-mortar retailers to more heavily tax Amazon, Ives said, so the discussion is ""something you have to keep an eye on."" But the likelihood that an internet tax would pass is small, he said. ""Listen they've [Amazon] significantly changed the retail landscape across the world,"" Ives said. ""I think it's more of the same where they're getting in the crosshairs."" Trump spoke before media and members of the administration Wednesday evening during the signing of the Interdict Act, which seeks to reduce drug smuggling through the purchase of opioid sensors. Amazon did not immediately return a CNBC request for comment. —CNBC's Kevin Breuninger and Eugene Kim contributed to this report. WATCH: How Bill Gates helped Jeff Bezos become the richest person in the world show chapters [/INST] \n",
14,COMPANY,Amazon,OPERATE_IN,ECON_INDICATOR,retail sales,"4 Hours Ago | 00:56 President Donald Trump repeated an earlier call for an internet tax, in a thinly veiled shot at Amazon 's Jeff Bezos, who owns The Washington Post. ""The internet — they're going to have to start paying sales tax because it's very unfair what's happening to our retailers all over the country that are put out of business,"" Trump said Wednesday. Trump also reiterated concerns about Amazon's effect on the U.S. Postal Service as it struggles to keep up with online orders. The comments mirror tweets from the president in December that named the e-commerce giant. Dec tweet ""There's always been a fear for players like an Amazon or a Google that something like this could actually get through,"" Daniel Ives, head of technology research at GBH Insights, told CNBC. ""We believe it's more noise than a real threat."" show chapters 11:21 AM ET Fri, 29 Dec 2017 | 02:48 There's been speculation that the president's shots at Amazon are aimed at Bezos , whose newspaper has published stories critical of the president. Amazon already collects sales tax on products it sells directly to consumers, but has faced challenges from states over its policy of allowing third-party vendors to charge varying levels of sales tax. The issue has garnered more attention as Amazon continues to take a bigger share of overall retail sales. Amazon celebrated its ""biggest holiday"" shopping season at the end of last year. There is an underlying movement among traditional brick-and-mortar retailers to more heavily tax Amazon, Ives said, so the discussion is ""something you have to keep an eye on."" But the likelihood that an internet tax would pass is small, he said. ""Listen they've [Amazon] significantly changed the retail landscape across the world,"" Ives said. ""I think it's more of the same where they're getting in the crosshairs."" Trump spoke before media and members of the administration Wednesday evening during the signing of the Interdict Act, which seeks to reduce drug smuggling through the purchase of opioid sensors. Amazon did not immediately return a CNBC request for comment. —CNBC's Kevin Breuninger and Eugene Kim contributed to this report. WATCH: How Bill Gates helped Jeff Bezos become the richest person in the world show chapters [/INST] \n",
14,COMPANY,Amazon,PARTICIPES_IN,EVENT,holiday shopping season,"4 Hours Ago | 00:56 President Donald Trump repeated an earlier call for an internet tax, in a thinly veiled shot at Amazon 's Jeff Bezos, who owns The Washington Post. ""The internet — they're going to have to start paying sales tax because it's very unfair what's happening to our retailers all over the country that are put out of business,"" Trump said Wednesday. Trump also reiterated concerns about Amazon's effect on the U.S. Postal Service as it struggles to keep up with online orders. The comments mirror tweets from the president in December that named the e-commerce giant. Dec tweet ""There's always been a fear for players like an Amazon or a Google that something like this could actually get through,"" Daniel Ives, head of technology research at GBH Insights, told CNBC. ""We believe it's more noise than a real threat."" show chapters 11:21 AM ET Fri, 29 Dec 2017 | 02:48 There's been speculation that the president's shots at Amazon are aimed at Bezos , whose newspaper has published stories critical of the president. Amazon already collects sales tax on products it sells directly to consumers, but has faced challenges from states over its policy of allowing third-party vendors to charge varying levels of sales tax. The issue has garnered more attention as Amazon continues to take a bigger share of overall retail sales. Amazon celebrated its ""biggest holiday"" shopping season at the end of last year. There is an underlying movement among traditional brick-and-mortar retailers to more heavily tax Amazon, Ives said, so the discussion is ""something you have to keep an eye on."" But the likelihood that an internet tax would pass is small, he said. ""Listen they've [Amazon] significantly changed the retail landscape across the world,"" Ives said. ""I think it's more of the same where they're getting in the crosshairs."" Trump spoke before media and members of the administration Wednesday evening during the signing of the Interdict Act, which seeks to reduce drug smuggling through the purchase of opioid sensors. Amazon did not immediately return a CNBC request for comment. —CNBC's Kevin Breuninger and Eugene Kim contributed to this report. WATCH: How Bill Gates helped Jeff Bezos become the richest person in the world show chapters [/INST] \n",
14,COMPANY,Amazon,OPERATE_IN,CONCEPT,sales tax,"4 Hours Ago | 00:56 President Donald Trump repeated an earlier call for an internet tax, in a thinly veiled shot at Amazon 's Jeff Bezos, who owns The Washington Post. ""The internet — they're going to have to start paying sales tax because it's very unfair what's happening to our retailers all over the country that are put out of business,"" Trump said Wednesday. Trump also reiterated concerns about Amazon's effect on the U.S. Postal Service as it struggles to keep up with online orders. The comments mirror tweets from the president in December that named the e-commerce giant. Dec tweet ""There's always been a fear for players like an Amazon or a Google that something like this could actually get through,"" Daniel Ives, head of technology research at GBH Insights, told CNBC. ""We believe it's more noise than a real threat."" show chapters 11:21 AM ET Fri, 29 Dec 2017 | 02:48 There's been speculation that the president's shots at Amazon are aimed at Bezos , whose newspaper has published stories critical of the president. Amazon already collects sales tax on products it sells directly to consumers, but has faced challenges from states over its policy of allowing third-party vendors to charge varying levels of sales tax. The issue has garnered more attention as Amazon continues to take a bigger share of overall retail sales. Amazon celebrated its ""biggest holiday"" shopping season at the end of last year. There is an underlying movement among traditional brick-and-mortar retailers to more heavily tax Amazon, Ives said, so the discussion is ""something you have to keep an eye on."" But the likelihood that an internet tax would pass is small, he said. ""Listen they've [Amazon] significantly changed the retail landscape across the world,"" Ives said. ""I think it's more of the same where they're getting in the crosshairs."" Trump spoke before media and members of the administration Wednesday evening during the signing of the Interdict Act, which seeks to reduce drug smuggling through the purchase of opioid sensors. Amazon did not immediately return a CNBC request for comment. —CNBC's Kevin Breuninger and Eugene Kim contributed to this report. WATCH: How Bill Gates helped Jeff Bezos become the richest person in the world show chapters [/INST] \n",
14,EVENT,Interdict Act,DECREASE,CONCEPT,drug smuggling,"4 Hours Ago | 00:56 President Donald Trump repeated an earlier call for an internet tax, in a thinly veiled shot at Amazon 's Jeff Bezos, who owns The Washington Post. ""The internet — they're going to have to start paying sales tax because it's very unfair what's happening to our retailers all over the country that are put out of business,"" Trump said Wednesday. Trump also reiterated concerns about Amazon's effect on the U.S. Postal Service as it struggles to keep up with online orders. The comments mirror tweets from the president in December that named the e-commerce giant. Dec tweet ""There's always been a fear for players like an Amazon or a Google that something like this could actually get through,"" Daniel Ives, head of technology research at GBH Insights, told CNBC. ""We believe it's more noise than a real threat."" show chapters 11:21 AM ET Fri, 29 Dec 2017 | 02:48 There's been speculation that the president's shots at Amazon are aimed at Bezos , whose newspaper has published stories critical of the president. Amazon already collects sales tax on products it sells directly to consumers, but has faced challenges from states over its policy of allowing third-party vendors to charge varying levels of sales tax. The issue has garnered more attention as Amazon continues to take a bigger share of overall retail sales. Amazon celebrated its ""biggest holiday"" shopping season at the end of last year. There is an underlying movement among traditional brick-and-mortar retailers to more heavily tax Amazon, Ives said, so the discussion is ""something you have to keep an eye on."" But the likelihood that an internet tax would pass is small, he said. ""Listen they've [Amazon] significantly changed the retail landscape across the world,"" Ives said. ""I think it's more of the same where they're getting in the crosshairs."" Trump spoke before media and members of the administration Wednesday evening during the signing of the Interdict Act, which seeks to reduce drug smuggling through the purchase of opioid sensors. Amazon did not immediately return a CNBC request for comment. —CNBC's Kevin Breuninger and Eugene Kim contributed to this report. WATCH: How Bill Gates helped Jeff Bezos become the richest person in the world show chapters [/INST] \n",
14,COMPANY,Amazon,OPERATE_IN,CONCEPT,retail landscape,"4 Hours Ago | 00:56 President Donald Trump repeated an earlier call for an internet tax, in a thinly veiled shot at Amazon 's Jeff Bezos, who owns The Washington Post. ""The internet — they're going to have to start paying sales tax because it's very unfair what's happening to our retailers all over the country that are put out of business,"" Trump said Wednesday. Trump also reiterated concerns about Amazon's effect on the U.S. Postal Service as it struggles to keep up with online orders. The comments mirror tweets from the president in December that named the e-commerce giant. Dec tweet ""There's always been a fear for players like an Amazon or a Google that something like this could actually get through,"" Daniel Ives, head of technology research at GBH Insights, told CNBC. ""We believe it's more noise than a real threat."" show chapters 11:21 AM ET Fri, 29 Dec 2017 | 02:48 There's been speculation that the president's shots at Amazon are aimed at Bezos , whose newspaper has published stories critical of the president. Amazon already collects sales tax on products it sells directly to consumers, but has faced challenges from states over its policy of allowing third-party vendors to charge varying levels of sales tax. The issue has garnered more attention as Amazon continues to take a bigger share of overall retail sales. Amazon celebrated its ""biggest holiday"" shopping season at the end of last year. There is an underlying movement among traditional brick-and-mortar retailers to more heavily tax Amazon, Ives said, so the discussion is ""something you have to keep an eye on."" But the likelihood that an internet tax would pass is small, he said. ""Listen they've [Amazon] significantly changed the retail landscape across the world,"" Ives said. ""I think it's more of the same where they're getting in the crosshairs."" Trump spoke before media and members of the administration Wednesday evening during the signing of the Interdict Act, which seeks to reduce drug smuggling through the purchase of opioid sensors. Amazon did not immediately return a CNBC request for comment. —CNBC's Kevin Breuninger and Eugene Kim contributed to this report. WATCH: How Bill Gates helped Jeff Bezos become the richest person in the world show chapters [/INST] \n",
14,COMPANY,Amazon,INTRODUCE,CONCEPT,opioid sensors production,"4 Hours Ago | 00:56 President Donald Trump repeated an earlier call for an internet tax, in a thinly veiled shot at Amazon 's Jeff Bezos, who owns The Washington Post. ""The internet — they're going to have to start paying sales tax because it's very unfair what's happening to our retailers all over the country that are put out of business,"" Trump said Wednesday. Trump also reiterated concerns about Amazon's effect on the U.S. Postal Service as it struggles to keep up with online orders. The comments mirror tweets from the president in December that named the e-commerce giant. Dec tweet ""There's always been a fear for players like an Amazon or a Google that something like this could actually get through,"" Daniel Ives, head of technology research at GBH Insights, told CNBC. ""We believe it's more noise than a real threat."" show chapters 11:21 AM ET Fri, 29 Dec 2017 | 02:48 There's been speculation that the president's shots at Amazon are aimed at Bezos , whose newspaper has published stories critical of the president. Amazon already collects sales tax on products it sells directly to consumers, but has faced challenges from states over its policy of allowing third-party vendors to charge varying levels of sales tax. The issue has garnered more attention as Amazon continues to take a bigger share of overall retail sales. Amazon celebrated its ""biggest holiday"" shopping season at the end of last year. There is an underlying movement among traditional brick-and-mortar retailers to more heavily tax Amazon, Ives said, so the discussion is ""something you have to keep an eye on."" But the likelihood that an internet tax would pass is small, he said. ""Listen they've [Amazon] significantly changed the retail landscape across the world,"" Ives said. ""I think it's more of the same where they're getting in the crosshairs."" Trump spoke before media and members of the administration Wednesday evening during the signing of the Interdict Act, which seeks to reduce drug smuggling through the purchase of opioid sensors. Amazon did not immediately return a CNBC request for comment. —CNBC's Kevin Breuninger and Eugene Kim contributed to this report. WATCH: How Bill Gates helped Jeff Bezos become the richest person in the world show chapters [/INST] \n",
16,PERSON,Mario Carlino,RELATE_TO,GEOPOLITICAL_ENTITY,Calabria,"I DON’T KNOW many chefs who care as much about wine as they do about food. Mario Carlino, a native of Calabria and the chef-owner of Divina Ristorante in Caldwell, N.J., is one of the few. Most of the time, our taste in wine intersects. We both love Chablis and Domaine Huet (a top Vouvray producer), and both look skeptically on inexpensive Barolo. (“You can’t get a good Barolo for under $40!” I’ve heard Mario declare.) But our tastes diverge when it comes to Amarone, the noble red of Italy’s Veneto region. It’s one of Mario’s favorites but not one of mine. I’ve always found Amarone hard to pair with food.A...  [/INST] \n",
16,PERSON,Mario Carlino,HAS,COMPANY,Divina Ristorante,"I DON’T KNOW many chefs who care as much about wine as they do about food. Mario Carlino, a native of Calabria and the chef-owner of Divina Ristorante in Caldwell, N.J., is one of the few. Most of the time, our taste in wine intersects. We both love Chablis and Domaine Huet (a top Vouvray producer), and both look skeptically on inexpensive Barolo. (“You can’t get a good Barolo for under $40!” I’ve heard Mario declare.) But our tastes diverge when it comes to Amarone, the noble red of Italy’s Veneto region. It’s one of Mario’s favorites but not one of mine. I’ve always found Amarone hard to pair with food.A...  [/INST] \n",
