idx,subject,subject_type,relation,object,input,object_type,wiki_page
4,Casino,ORG,Positive_Impact_On,Profit in France,"PARIS, Jan 17 (Reuters) - French supermarket retailer Casino said it would deliver on its group profit growth forecasts for 2017 despite posting slightly softer fourth quarter sales amid stiff price competition in its core French market.Casino, which controls Brazil’s Grupo Pao de Acucar , posted fourth-quarter sales of 10.01 billion euros ($12.3 billion).Stripping out acquisitions, disposals, currency effects and fuel, group sales rose 3.2 percent year-on-year, a slight deceleration from 3.4 percent growth in the third quarter.Casino, whose credit rating was cut to junk by Standard & Poor’s in March 2016, is under pressure to revive profits in its biggest market which is France, where it now makes more than 50 percent of its sales, at a time of slower growth in Brazil.In Brazil, its second-biggest market by revenue, food retail sales were driven by its Assai cash-and-carry stores despite continuing issues regarding food price deflation, Casino said.Casino, which reports full-year earnings on March 8, said 2017 group operating profit should amount to 1.24 billion euros, a year-on-year rise of 20 percent.Those profits should also be above 550 million euros in France, marking growth of around 10 percent.$1 = 0.8168 euros Reporting by Dominique Vidalon; Editing by Sudip Kar-Gupta  [/INST] \n",ECON_INDICATOR,
4,Sales,ECON_INDICATOR,Announce,10.01 billion euros,"PARIS, Jan 17 (Reuters) - French supermarket retailer Casino said it would deliver on its group profit growth forecasts for 2017 despite posting slightly softer fourth quarter sales amid stiff price competition in its core French market.Casino, which controls Brazil’s Grupo Pao de Acucar , posted fourth-quarter sales of 10.01 billion euros ($12.3 billion).Stripping out acquisitions, disposals, currency effects and fuel, group sales rose 3.2 percent year-on-year, a slight deceleration from 3.4 percent growth in the third quarter.Casino, whose credit rating was cut to junk by Standard & Poor’s in March 2016, is under pressure to revive profits in its biggest market which is France, where it now makes more than 50 percent of its sales, at a time of slower growth in Brazil.In Brazil, its second-biggest market by revenue, food retail sales were driven by its Assai cash-and-carry stores despite continuing issues regarding food price deflation, Casino said.Casino, which reports full-year earnings on March 8, said 2017 group operating profit should amount to 1.24 billion euros, a year-on-year rise of 20 percent.Those profits should also be above 550 million euros in France, marking growth of around 10 percent.$1 = 0.8168 euros Reporting by Dominique Vidalon; Editing by Sudip Kar-Gupta  [/INST] \n",ECON_INDICATOR,
4,Sales,ECON_INDICATOR,Impact,Casino,"PARIS, Jan 17 (Reuters) - French supermarket retailer Casino said it would deliver on its group profit growth forecasts for 2017 despite posting slightly softer fourth quarter sales amid stiff price competition in its core French market.Casino, which controls Brazil’s Grupo Pao de Acucar , posted fourth-quarter sales of 10.01 billion euros ($12.3 billion).Stripping out acquisitions, disposals, currency effects and fuel, group sales rose 3.2 percent year-on-year, a slight deceleration from 3.4 percent growth in the third quarter.Casino, whose credit rating was cut to junk by Standard & Poor’s in March 2016, is under pressure to revive profits in its biggest market which is France, where it now makes more than 50 percent of its sales, at a time of slower growth in Brazil.In Brazil, its second-biggest market by revenue, food retail sales were driven by its Assai cash-and-carry stores despite continuing issues regarding food price deflation, Casino said.Casino, which reports full-year earnings on March 8, said 2017 group operating profit should amount to 1.24 billion euros, a year-on-year rise of 20 percent.Those profits should also be above 550 million euros in France, marking growth of around 10 percent.$1 = 0.8168 euros Reporting by Dominique Vidalon; Editing by Sudip Kar-Gupta  [/INST] \n",ORG,
4,Sales,ECON_INDICATOR,Operate_In,Quarter 4,"PARIS, Jan 17 (Reuters) - French supermarket retailer Casino said it would deliver on its group profit growth forecasts for 2017 despite posting slightly softer fourth quarter sales amid stiff price competition in its core French market.Casino, which controls Brazil’s Grupo Pao de Acucar , posted fourth-quarter sales of 10.01 billion euros ($12.3 billion).Stripping out acquisitions, disposals, currency effects and fuel, group sales rose 3.2 percent year-on-year, a slight deceleration from 3.4 percent growth in the third quarter.Casino, whose credit rating was cut to junk by Standard & Poor’s in March 2016, is under pressure to revive profits in its biggest market which is France, where it now makes more than 50 percent of its sales, at a time of slower growth in Brazil.In Brazil, its second-biggest market by revenue, food retail sales were driven by its Assai cash-and-carry stores despite continuing issues regarding food price deflation, Casino said.Casino, which reports full-year earnings on March 8, said 2017 group operating profit should amount to 1.24 billion euros, a year-on-year rise of 20 percent.Those profits should also be above 550 million euros in France, marking growth of around 10 percent.$1 = 0.8168 euros Reporting by Dominique Vidalon; Editing by Sudip Kar-Gupta  [/INST] \n",EVENT,
4,Sales,ECON_INDICATOR,Relate_To,Casino's Core French Market,"PARIS, Jan 17 (Reuters) - French supermarket retailer Casino said it would deliver on its group profit growth forecasts for 2017 despite posting slightly softer fourth quarter sales amid stiff price competition in its core French market.Casino, which controls Brazil’s Grupo Pao de Acucar , posted fourth-quarter sales of 10.01 billion euros ($12.3 billion).Stripping out acquisitions, disposals, currency effects and fuel, group sales rose 3.2 percent year-on-year, a slight deceleration from 3.4 percent growth in the third quarter.Casino, whose credit rating was cut to junk by Standard & Poor’s in March 2016, is under pressure to revive profits in its biggest market which is France, where it now makes more than 50 percent of its sales, at a time of slower growth in Brazil.In Brazil, its second-biggest market by revenue, food retail sales were driven by its Assai cash-and-carry stores despite continuing issues regarding food price deflation, Casino said.Casino, which reports full-year earnings on March 8, said 2017 group operating profit should amount to 1.24 billion euros, a year-on-year rise of 20 percent.Those profits should also be above 550 million euros in France, marking growth of around 10 percent.$1 = 0.8168 euros Reporting by Dominique Vidalon; Editing by Sudip Kar-Gupta  [/INST] \n",GPE,
4,Sales,ECON_INDICATOR,Stripping_Out,"Acquisitions, disposals, currency effects and fuel","PARIS, Jan 17 (Reuters) - French supermarket retailer Casino said it would deliver on its group profit growth forecasts for 2017 despite posting slightly softer fourth quarter sales amid stiff price competition in its core French market.Casino, which controls Brazil’s Grupo Pao de Acucar , posted fourth-quarter sales of 10.01 billion euros ($12.3 billion).Stripping out acquisitions, disposals, currency effects and fuel, group sales rose 3.2 percent year-on-year, a slight deceleration from 3.4 percent growth in the third quarter.Casino, whose credit rating was cut to junk by Standard & Poor’s in March 2016, is under pressure to revive profits in its biggest market which is France, where it now makes more than 50 percent of its sales, at a time of slower growth in Brazil.In Brazil, its second-biggest market by revenue, food retail sales were driven by its Assai cash-and-carry stores despite continuing issues regarding food price deflation, Casino said.Casino, which reports full-year earnings on March 8, said 2017 group operating profit should amount to 1.24 billion euros, a year-on-year rise of 20 percent.Those profits should also be above 550 million euros in France, marking growth of around 10 percent.$1 = 0.8168 euros Reporting by Dominique Vidalon; Editing by Sudip Kar-Gupta  [/INST] \n",CONCEPT,
4,Sales,ECON_INDICATOR,Growth,3.2 percent year-on-year,"PARIS, Jan 17 (Reuters) - French supermarket retailer Casino said it would deliver on its group profit growth forecasts for 2017 despite posting slightly softer fourth quarter sales amid stiff price competition in its core French market.Casino, which controls Brazil’s Grupo Pao de Acucar , posted fourth-quarter sales of 10.01 billion euros ($12.3 billion).Stripping out acquisitions, disposals, currency effects and fuel, group sales rose 3.2 percent year-on-year, a slight deceleration from 3.4 percent growth in the third quarter.Casino, whose credit rating was cut to junk by Standard & Poor’s in March 2016, is under pressure to revive profits in its biggest market which is France, where it now makes more than 50 percent of its sales, at a time of slower growth in Brazil.In Brazil, its second-biggest market by revenue, food retail sales were driven by its Assai cash-and-carry stores despite continuing issues regarding food price deflation, Casino said.Casino, which reports full-year earnings on March 8, said 2017 group operating profit should amount to 1.24 billion euros, a year-on-year rise of 20 percent.Those profits should also be above 550 million euros in France, marking growth of around 10 percent.$1 = 0.8168 euros Reporting by Dominique Vidalon; Editing by Sudip Kar-Gupta  [/INST] \n",ECON_INDICATOR,
4,Sales,ECON_INDICATOR,Deceleration,From 3.4 percent growth in the third quarter,"PARIS, Jan 17 (Reuters) - French supermarket retailer Casino said it would deliver on its group profit growth forecasts for 2017 despite posting slightly softer fourth quarter sales amid stiff price competition in its core French market.Casino, which controls Brazil’s Grupo Pao de Acucar , posted fourth-quarter sales of 10.01 billion euros ($12.3 billion).Stripping out acquisitions, disposals, currency effects and fuel, group sales rose 3.2 percent year-on-year, a slight deceleration from 3.4 percent growth in the third quarter.Casino, whose credit rating was cut to junk by Standard & Poor’s in March 2016, is under pressure to revive profits in its biggest market which is France, where it now makes more than 50 percent of its sales, at a time of slower growth in Brazil.In Brazil, its second-biggest market by revenue, food retail sales were driven by its Assai cash-and-carry stores despite continuing issues regarding food price deflation, Casino said.Casino, which reports full-year earnings on March 8, said 2017 group operating profit should amount to 1.24 billion euros, a year-on-year rise of 20 percent.Those profits should also be above 550 million euros in France, marking growth of around 10 percent.$1 = 0.8168 euros Reporting by Dominique Vidalon; Editing by Sudip Kar-Gupta  [/INST] \n",CONCEPT,
6,Albuquerque,PERSON,Operate_In,Action Express No. 5 team,"January 28, 2018 / 11:07 PM / Updated 16 minutes ago Car woes plague Alonso as Albuquerque team wins at Daytona   (Reuters) - Portuguese drivers Filipe Albuquerque and Joao Barbosa teamed up with Brazil’s Christian Fittipaldi to win the Rolex 24 Hours as twice Formula One champion Fernando Alonso’s car experienced frequent problems at Daytona International Speedway on Sunday. Albuquerque’s Action Express No. 5 team dominated the race as mechanical issues plagued competitors, including Alonso whose team finished 90 laps behind the winners in 13th place. “Unfortunately we had too many issues that were out of our control,” said Alfonso who was making his debut in the 24-hour endurance race. ”Some unlucky situations, first of all with the puncture in the third or fourth stint We lost four laps with quite a lot of damage on the car. “And after that we had a brake issue... and we lost 40 minutes. So that was the end of our race, probably. Then we had a throttle issue and then again a brake issue.” Even the champions had their share of problems with Albuquerque, who drove the final portion of the race, unable to push hard out of fear of overheating. Another Cadillac team with Mike Conway, Eric Curran, Felipe Nasr and Stuart Middleton took second. Ninth place went to Ricky Taylor, Helio Castroneves and Graham Rahal with Juan Pablo Montoya, Simon Pagenaud and Dane Cameron taking 10th The day was a special one for Chip Ganassi Racing, which posted its 200th career victory across four different motorsports disciplines, including NASCAR and IndyCar, to claim the GT Le Mans class. Ryan Briscoe, Richard Westbrook, and Scott Dixon drove the winning car, taking the class victory over fellow Ganassi drivers Joey Hand, Dirk Mueller and Sebastien Bourdais. Reporting by Gene Cherry in Salvo, North Carolina; Editing by Ken Ferris [/INST] \n",ORG,
6,Albuquerque's Action Express No. 5 team,ORG,Win,Rolex 24 Hours,"January 28, 2018 / 11:07 PM / Updated 16 minutes ago Car woes plague Alonso as Albuquerque team wins at Daytona   (Reuters) - Portuguese drivers Filipe Albuquerque and Joao Barbosa teamed up with Brazil’s Christian Fittipaldi to win the Rolex 24 Hours as twice Formula One champion Fernando Alonso’s car experienced frequent problems at Daytona International Speedway on Sunday. Albuquerque’s Action Express No. 5 team dominated the race as mechanical issues plagued competitors, including Alonso whose team finished 90 laps behind the winners in 13th place. “Unfortunately we had too many issues that were out of our control,” said Alfonso who was making his debut in the 24-hour endurance race. ”Some unlucky situations, first of all with the puncture in the third or fourth stint We lost four laps with quite a lot of damage on the car. “And after that we had a brake issue... and we lost 40 minutes. So that was the end of our race, probably. Then we had a throttle issue and then again a brake issue.” Even the champions had their share of problems with Albuquerque, who drove the final portion of the race, unable to push hard out of fear of overheating. Another Cadillac team with Mike Conway, Eric Curran, Felipe Nasr and Stuart Middleton took second. Ninth place went to Ricky Taylor, Helio Castroneves and Graham Rahal with Juan Pablo Montoya, Simon Pagenaud and Dane Cameron taking 10th The day was a special one for Chip Ganassi Racing, which posted its 200th career victory across four different motorsports disciplines, including NASCAR and IndyCar, to claim the GT Le Mans class. Ryan Briscoe, Richard Westbrook, and Scott Dixon drove the winning car, taking the class victory over fellow Ganassi drivers Joey Hand, Dirk Mueller and Sebastien Bourdais. Reporting by Gene Cherry in Salvo, North Carolina; Editing by Ken Ferris [/INST] \n",EVENT,
6,Fernando Alonso,PERSON,Participates_In,Rolex 24 Hours,"January 28, 2018 / 11:07 PM / Updated 16 minutes ago Car woes plague Alonso as Albuquerque team wins at Daytona   (Reuters) - Portuguese drivers Filipe Albuquerque and Joao Barbosa teamed up with Brazil’s Christian Fittipaldi to win the Rolex 24 Hours as twice Formula One champion Fernando Alonso’s car experienced frequent problems at Daytona International Speedway on Sunday. Albuquerque’s Action Express No. 5 team dominated the race as mechanical issues plagued competitors, including Alonso whose team finished 90 laps behind the winners in 13th place. “Unfortunately we had too many issues that were out of our control,” said Alfonso who was making his debut in the 24-hour endurance race. ”Some unlucky situations, first of all with the puncture in the third or fourth stint We lost four laps with quite a lot of damage on the car. “And after that we had a brake issue... and we lost 40 minutes. So that was the end of our race, probably. Then we had a throttle issue and then again a brake issue.” Even the champions had their share of problems with Albuquerque, who drove the final portion of the race, unable to push hard out of fear of overheating. Another Cadillac team with Mike Conway, Eric Curran, Felipe Nasr and Stuart Middleton took second. Ninth place went to Ricky Taylor, Helio Castroneves and Graham Rahal with Juan Pablo Montoya, Simon Pagenaud and Dane Cameron taking 10th The day was a special one for Chip Ganassi Racing, which posted its 200th career victory across four different motorsports disciplines, including NASCAR and IndyCar, to claim the GT Le Mans class. Ryan Briscoe, Richard Westbrook, and Scott Dixon drove the winning car, taking the class victory over fellow Ganassi drivers Joey Hand, Dirk Mueller and Sebastien Bourdais. Reporting by Gene Cherry in Salvo, North Carolina; Editing by Ken Ferris [/INST] \n",EVENT,
6,Fernando Alonso,PERSON,Control,Car,"January 28, 2018 / 11:07 PM / Updated 16 minutes ago Car woes plague Alonso as Albuquerque team wins at Daytona   (Reuters) - Portuguese drivers Filipe Albuquerque and Joao Barbosa teamed up with Brazil’s Christian Fittipaldi to win the Rolex 24 Hours as twice Formula One champion Fernando Alonso’s car experienced frequent problems at Daytona International Speedway on Sunday. Albuquerque’s Action Express No. 5 team dominated the race as mechanical issues plagued competitors, including Alonso whose team finished 90 laps behind the winners in 13th place. “Unfortunately we had too many issues that were out of our control,” said Alfonso who was making his debut in the 24-hour endurance race. ”Some unlucky situations, first of all with the puncture in the third or fourth stint We lost four laps with quite a lot of damage on the car. “And after that we had a brake issue... and we lost 40 minutes. So that was the end of our race, probably. Then we had a throttle issue and then again a brake issue.” Even the champions had their share of problems with Albuquerque, who drove the final portion of the race, unable to push hard out of fear of overheating. Another Cadillac team with Mike Conway, Eric Curran, Felipe Nasr and Stuart Middleton took second. Ninth place went to Ricky Taylor, Helio Castroneves and Graham Rahal with Juan Pablo Montoya, Simon Pagenaud and Dane Cameron taking 10th The day was a special one for Chip Ganassi Racing, which posted its 200th career victory across four different motorsports disciplines, including NASCAR and IndyCar, to claim the GT Le Mans class. Ryan Briscoe, Richard Westbrook, and Scott Dixon drove the winning car, taking the class victory over fellow Ganassi drivers Joey Hand, Dirk Mueller and Sebastien Bourdais. Reporting by Gene Cherry in Salvo, North Carolina; Editing by Ken Ferris [/INST] \n",GPE,
6,Fernando Alonso's car,GPE,Experience,Frequent problems,"January 28, 2018 / 11:07 PM / Updated 16 minutes ago Car woes plague Alonso as Albuquerque team wins at Daytona   (Reuters) - Portuguese drivers Filipe Albuquerque and Joao Barbosa teamed up with Brazil’s Christian Fittipaldi to win the Rolex 24 Hours as twice Formula One champion Fernando Alonso’s car experienced frequent problems at Daytona International Speedway on Sunday. Albuquerque’s Action Express No. 5 team dominated the race as mechanical issues plagued competitors, including Alonso whose team finished 90 laps behind the winners in 13th place. “Unfortunately we had too many issues that were out of our control,” said Alfonso who was making his debut in the 24-hour endurance race. ”Some unlucky situations, first of all with the puncture in the third or fourth stint We lost four laps with quite a lot of damage on the car. “And after that we had a brake issue... and we lost 40 minutes. So that was the end of our race, probably. Then we had a throttle issue and then again a brake issue.” Even the champions had their share of problems with Albuquerque, who drove the final portion of the race, unable to push hard out of fear of overheating. Another Cadillac team with Mike Conway, Eric Curran, Felipe Nasr and Stuart Middleton took second. Ninth place went to Ricky Taylor, Helio Castroneves and Graham Rahal with Juan Pablo Montoya, Simon Pagenaud and Dane Cameron taking 10th The day was a special one for Chip Ganassi Racing, which posted its 200th career victory across four different motorsports disciplines, including NASCAR and IndyCar, to claim the GT Le Mans class. Ryan Briscoe, Richard Westbrook, and Scott Dixon drove the winning car, taking the class victory over fellow Ganassi drivers Joey Hand, Dirk Mueller and Sebastien Bourdais. Reporting by Gene Cherry in Salvo, North Carolina; Editing by Ken Ferris [/INST] \n",CONCEPT,
6,Fernando Alonso's team,ORG,Finish,13th place,"January 28, 2018 / 11:07 PM / Updated 16 minutes ago Car woes plague Alonso as Albuquerque team wins at Daytona   (Reuters) - Portuguese drivers Filipe Albuquerque and Joao Barbosa teamed up with Brazil’s Christian Fittipaldi to win the Rolex 24 Hours as twice Formula One champion Fernando Alonso’s car experienced frequent problems at Daytona International Speedway on Sunday. Albuquerque’s Action Express No. 5 team dominated the race as mechanical issues plagued competitors, including Alonso whose team finished 90 laps behind the winners in 13th place. “Unfortunately we had too many issues that were out of our control,” said Alfonso who was making his debut in the 24-hour endurance race. ”Some unlucky situations, first of all with the puncture in the third or fourth stint We lost four laps with quite a lot of damage on the car. “And after that we had a brake issue... and we lost 40 minutes. So that was the end of our race, probably. Then we had a throttle issue and then again a brake issue.” Even the champions had their share of problems with Albuquerque, who drove the final portion of the race, unable to push hard out of fear of overheating. Another Cadillac team with Mike Conway, Eric Curran, Felipe Nasr and Stuart Middleton took second. Ninth place went to Ricky Taylor, Helio Castroneves and Graham Rahal with Juan Pablo Montoya, Simon Pagenaud and Dane Cameron taking 10th The day was a special one for Chip Ganassi Racing, which posted its 200th career victory across four different motorsports disciplines, including NASCAR and IndyCar, to claim the GT Le Mans class. Ryan Briscoe, Richard Westbrook, and Scott Dixon drove the winning car, taking the class victory over fellow Ganassi drivers Joey Hand, Dirk Mueller and Sebastien Bourdais. Reporting by Gene Cherry in Salvo, North Carolina; Editing by Ken Ferris [/INST] \n",CONCEPT,
6,Alonso,PERSON,Relate_To,90 laps,"January 28, 2018 / 11:07 PM / Updated 16 minutes ago Car woes plague Alonso as Albuquerque team wins at Daytona   (Reuters) - Portuguese drivers Filipe Albuquerque and Joao Barbosa teamed up with Brazil’s Christian Fittipaldi to win the Rolex 24 Hours as twice Formula One champion Fernando Alonso’s car experienced frequent problems at Daytona International Speedway on Sunday. Albuquerque’s Action Express No. 5 team dominated the race as mechanical issues plagued competitors, including Alonso whose team finished 90 laps behind the winners in 13th place. “Unfortunately we had too many issues that were out of our control,” said Alfonso who was making his debut in the 24-hour endurance race. ”Some unlucky situations, first of all with the puncture in the third or fourth stint We lost four laps with quite a lot of damage on the car. “And after that we had a brake issue... and we lost 40 minutes. So that was the end of our race, probably. Then we had a throttle issue and then again a brake issue.” Even the champions had their share of problems with Albuquerque, who drove the final portion of the race, unable to push hard out of fear of overheating. Another Cadillac team with Mike Conway, Eric Curran, Felipe Nasr and Stuart Middleton took second. Ninth place went to Ricky Taylor, Helio Castroneves and Graham Rahal with Juan Pablo Montoya, Simon Pagenaud and Dane Cameron taking 10th The day was a special one for Chip Ganassi Racing, which posted its 200th career victory across four different motorsports disciplines, including NASCAR and IndyCar, to claim the GT Le Mans class. Ryan Briscoe, Richard Westbrook, and Scott Dixon drove the winning car, taking the class victory over fellow Ganassi drivers Joey Hand, Dirk Mueller and Sebastien Bourdais. Reporting by Gene Cherry in Salvo, North Carolina; Editing by Ken Ferris [/INST] \n",NUMERICAL,
